team_name,original_filename,uuid_filename,title,abstract
SparseUrban,1. 연구보고서.pdf,501efa76-01f3-4eea-ab3f-8425d2f1181a.pdf,SparseUrban: Conditional DDIM for Turbulent Flow,"Accurate prediction of urban airflow is essential for addressing critical challenges in smart city applications, including pollutant dispersion monitoring and pedestrian wind comfort assessment. While high-fidelity Computational Fluid Dynamics (CFD) simulations, particularly Large Eddy Simulation (LES), can resolve turbu- lent flow structures with high accuracy, their prohibitive computational cost limits real-time deployment. Existing data-driven surrogate models based on determin- istic regression suffer from spectral bias, producing over-smoothed predictions that attenuate high-frequency turbulent fluctuations. In this work, we propose a conditional Denoising Diffusion Probabilistic Model (DDPM) framework for reconstructing dense urban velocity fields from extremely sparse sensor measure- ments (5% observation ratio). Our approach incorporates physics-aware design choices including signed distance function (SDF) encoding for building geome- try, interpolation-based input preprocessing, and a residual diffusion formulation that focuses learning on high-frequency corrections. Systematic evaluation on the UrbanTALES dataset across four diverse urban configurations demonstrates Preprint. Under review. that the proposed model achieves R2 scores of 0.546–0.671 for flow speed recon- struction, significantly outperforming deterministic U-Net baselines (0.355–0.540). The results confirm that diffusion-based generative modeling effectively recovers multi-scale turbulent structures, including complex building wake regions and canyon channeling effects, establishing a promising direction for real-time urban flow prediction under sparse observational constraints."
Turb Surfers,1. 연구보고서_20260131175035508-WyrA.pdf,cace2243-6230-4b31-a627-7328655730ad.pdf,Latent-Space Forecasting of URANS Wake Flows,"Accurate prediction of unsteady wake flows across Reynolds numbers remains chal- lenging due to high-dimensional spatiotemporal dynamics and regime-dependent behavior. This study presents a compact, data-driven framework built on time-resolved unsteady Reynolds-averaged Navier–Stokes (URANS) simula- tions for Re ∈{1000, 2000, 3000, 4000, 5000, 7000, 9000, 11000, 22000}. Two- component velocity snapshots (u, v) are compressed using principal component analysis (PCA), yielding a low-dimensional latent representation with near-lossless reconstruction at L = 50. Using the Re = 22000 dataset, we formulate short- horizon latent forecasting from a finite history window and compare a linear extrapolation baseline with regularized linear predictors; Elastic Net provides the most consistent improvement and approaches the PCA reconstruction bound after decoding. Finally, as an auxiliary analysis, lightweight LLMs are queried as black-box similarity judges between endpoint references, and the entropy of repeated outputs is used as a heuristic uncertainty indicator for regime variation. Together, the results demonstrate an efficient pipeline for latent-space forecasting and a complementary, uncertainty-oriented view of transitional behavior from compressed URANS data. Notably, the LLM-based uncertainty trends consistently interpret the PCA-derived flow representations and provide an effective signal for transition-regime screening across Reynolds numbers."
VLM,2. VLM팀 AI 활용보고서.pdf,4f685a1c-4e80-48d6-89bf-48f7fdbd426b.pdf,별첨1-4,"발행 연도학술지를 다운로드함 2 32 10,000 ( , , , ) ."
andi,3. 활용 데이터 목록.pdf,bc3d0e72-8579-4ec9-b5f6-a60bd41ee26c.pdf,"※ (제출 시, 삭제) 제출된 자료(논문 및 AI Agent를 제외한 자료, 예: AI 활용보고서, 활용데이터 목록 등)는",(초록 추출 실패)
cfpark00,icml_numpapers.pdf,cfe03ab8-e287-4011-b5d5-7dbc1811cd2b.pdf,Conference/Workshop Year,(초록 추출 실패)
deksy,Design_and_Validation_of_FastSymNet__High_Speed_Neural_Networks_via_Algebraic_Invariant_Based_Dimension_Reduction.pdf,ef0e559a-d924-4f4d-a98e-4d8cd489a04a.pdf,Design and Validation of FastSymNet: High-Speed Neural,"This report proposes ’FastSymNet’, an architecture inspired by the symmetry philosophy of Galois Theory, to eliminate structural redundancy in processing symmetric matrix data. The core of this research lies in redefining data not as a mere collection of numerical values, but as algebraic objects subjected to the action of specific groups. Based on the Orbit Recovery Theorem by Blum-Smith & Marquardt (2024), we extract the diagonal elements and row sums—invariants of the symmetric group Sn acting on n×n matrices—thereby drastically compressing the input dimension from O(n2) to O(n). Empirical validation using synthetic symmetric matrix datasets demonstrates a 336-fold reduction in computational load and a 35.5-fold increase in inference speed compared to CNNs, presenting a new horizon for deep learning optimization through algebraic structures. Key words: Galois Theory; Invariant Theory; Orbit Recovery; Matrix Symmetry; Neural Network Optimization; FastSymNet"
hkalbert71,AI_CoScientist_Track1_Paper_20260131151723755-vLWJ.pdf,f1b21138-5f92-4ac2-9c8e-ea510f57f7fb.pdf,and Non-Learnable Collapse of Biological Delivery,"Biological delivery is a central bottleneck in modern therapeutics, yet most existing studies frame it as a problem of performance prediction or optimization—asking which sequence or formulation delivers “better.” Such approaches have produced incremental gains, but they obscure a more fundamental question: to what extent is biological delivery learnable from sequence and observable context, and where does learning structurally fail? In this study, we recast biological delivery as a boundary-discovery problem rather than a performance maximization task. We investigate delivery as a function of molecular sequence and context, focusing on identifying the learnability boundary—the regimes where predictive structure exists—and the conditions under which delivery exhibits non- learnable collapse, where prediction fails regardless of model complexity or data volume. We adopt a dry-lab, design-driven methodology using a Minimal Executable Study Design (MESD) that deliberately exposes failure modes. Delivery is decomposed into stage-specific phenotypes (e.g., uptake versus endosomal escape), combined with controlled variation in observable context and intentionally unobserved hidden-state factors. Analysis is governed by pre-specified decision rules to distinguish learnable structure from measurement collapse, hidden-state effects, and non-linear regime transitions. An AI co-scientist is integrated throughout the research process—not merely as an automation tool, but as a collaborative reasoning agent. The AI proposes research questions, alternative hypotheses, and experimental abstractions, while the human researcher critically evaluates, constrains, and ultimately determines the analytical framing and interpretation. This explicit separation of roles is documented as part of the research methodology. Rather than reporting improved delivery performance, this work aims to produce a map of where learning is possible and where it is not. By making failure modes first-class..."
igoya2,co_sientist.pdf,1574966d-ea9f-4024-aa41-95e117b98a87.pdf,PMI-RAG: A Universal Ontology-based RAG Agent,"The global manufacturing industry loses an estimated $25 billion annually due 1 to CAM programming inefficiencies, yet existing automation approaches fail to 2 leverage the rich Product Manufacturing Information (PMI) embedded in modern 3 CAD models while raising critical data privacy concerns with cloud-based LLMs. 4 We present PMI-RAG, a universal ontology-based Retrieval-Augmented Gener- 5 ation agent that processes PMI data from any CAD format (STEP, IGES, native 6 formats) into optimized CAM operations through natural language interaction, 7 while preserving data privacy via local LLM deployment. Our work makes three 8 key contributions: (1) the first manufacturing-specific ontology schema with 22 9 weighted relation types capturing tool-material-operation semantics across 2,847 10 entities; (2) a novel complexity-based dual-path inference routing algorithm with 11 provable O(|V | + |E|) graph traversal complexity; and (3) a unique task-based 12 model routing system that dynamically selects optimal local models (DeepSeek- 13 Coder, Llama, Qwen) based on query characteristics. We deploy the system locally 14 via Ollama to ensure complete data privacy. Rigorous evaluation on 150 real-world 15 CAM tasks across 5-fold cross-validation demonstrates statistically significant im- 16 provements: 47.0% ± 4.2% setup time reduction (p < 0.001, Cohen’s d = 2.31) 17 and 89.0% ± 2.4% process accuracy (p < 0.001). 18"
incc33,Explaining observed choices in behavioral logs using.pdf,c49951c0-de3b-49c9-8d8d-d9292c2865b7.pdf,Explaining observed choices in behavioral logs using,"Human decision-making behavior often reflects latent strategies that evolve over time rather than a single fixed policy. In this study, we investigate the automatic discovery of such latent decision-making strategies from behavioral log data using a switching reinforcement learning (RL) framework, and provide a computational neuroscience–inspired interpretation of the underlying mechanisms. We construct a sequential decision-making environment from large-scale behavioral logs and model user behavior as a mixture of multiple latent RL policies with dynamic switching. By estimating policy-specific parameters and their transition dynamics, the proposed approach identifies distinct decision strategies and their temporal shifts without explicit supervision. Furthermore, we interpret the learned parame- ters—such as reward sensitivity and prediction error dynamics—through the lens of computational neuroscience, linking observed behavioral patterns to theoretical constructs including reward prediction error and strategy arbitration. Experimental results on synthesized behavioral datasets demonstrate that the proposed framework effectively captures strategy heterogeneity and switching behavior, offering an in- terpretable account of decision-making processes beyond pure prediction. This work highlights the potential of switching RL as a principled tool for explaining complex human decision behaviors from real-world action logs.. 1 Submission of papers to 2026 AI Co-Scientist Challenge Korea Human behavior is shaped by multiple decision-making strategies that are flexibly deployed over time. Even within the same task environment, individuals alternate between exploratory and exploitative modes, reflecting dynamic internal states rather than random noise. However, most existing behavioral models assume a single stationary policy, limiting their ability to capture regime changes within individuals. This study addresses this limitation by modeling learner behavior as switchi..."
judyh3054,T 세포 탈진_20260131105559255-M4Cu.pdf,89e7b370-31bf-4caa-9847-95f482d8a5ff.pdf,Transcriptome-Driven Drug Repositioning to Reverse T Cell,"T cell exhaustion is a dysfunctional differentiation state of CD8+ T cells that arises in chronic antigen expo- sure settings such as cancer and persistent viral infection. Although immune checkpoint inhibitors partially re- store T cell activity in subsets of patients, their limited response rates and toxicity profiles motivate the search for complementary strategies. Here, we present an AI-assisted, transcriptome-driven drug repositioning framework to identify approved small-molecule compounds capable of reversing exhausted T cell states. By integrating bulk and single-cell RNA sequencing data with large-scale perturbation signatures from the LINCS L1000 resource, we construct a robust exhaustion-associated gene expression signature and computationally screen drugs that induce inverse transcriptional programs. The framework produces a prioritized list of candidate repositioning drugs and provides mechanistic hypotheses connecting these compounds to core regulatory pathways of T cell exhaustion. This study demonstrates how public omics data and AI-driven analysis can accelerate hypothesis generation for translational immunotherapy research."
k-AIst,1. AI 연구보고서.pdf,c126c2a0-457a-4c20-80ab-306579b87ac5.pdf,Autonomous AI Agent-based Virtual Lab for,"The accelerating global population aging has intensified the urgent need to decipher 1 the biological mechanisms underlying inflammaging and age-related pathologies. 2 While the neuroimmune axis—a bidirectional communication network between the 3 central nervous system and the immune system—has emerged as a critical regulator 4 of longevity, the molecular effectors governing this dialogue remain poorly charac- 5 terized. Prior research has predominantly focused on canonical cytokine pathways; 6 however, emerging evidence suggests that non-cytokine proteins may dominate 7 age-dependent inter-organ communication. To address this knowledge gap, we 8 introduce a novel multi-agent AI framework, termed the Virtual Lab, designed to 9 systematically identify uncharacterized interactions between brain-derived plasma 10 proteins and immune receptors. Unlike conventional deep learning approaches 11 hindered by dataset biases (e.g., overrepresentation of cytokines) and suscepti- 12 bility to hallucination, our framework leverages a collaborative, cross-validated 13 pipeline: specialized AI agents—including an immunologist, machine learning 14 specialist, computational scientist, and scientific critic—iteratively refine search 15 strategies through structured debate and rigorous peer review. We curated a high- 16 confidence library of 528 cell-surface immune receptors and paired them with 112 17 brain-derived plasma proteins exhibiting stringent tissue specificity. Using ESM- 18 2 embeddings for rapid sequence-based screening, we identified high-potential 19 candidates, which were subsequently validated for structural compatibility via 20 AlphaFold-Multimer. Key validation metrics included interface confidence scores 21 (ipTM + pTM ≥0.6), predicted alignment error (PAE) plots confirming reliable 22 domain positioning, and per-residue confidence scores (pLDDT > 50), alongside 23 physical interaction interfaces visualized via PyMOL. Crucially, our approach over- 24 comes the li..."
pickupjm20,Why One Question Can Yield Many Answers...pdf,8613f7ca-443c-4a37-bddc-5c9849a4bbb5.pdf,Why One Question Can Yield Many Answers:,"Hallucinations—confidently stated but false outputs—remain a major reliability 1 barrier for large language models (LLMs). A key symptom is that even when a 2 question has a single correct answer, an LLM may produce multiple incompatible 3 answers across runs or conditions, and may commit to an incorrect one with- 4 out calibrated uncertainty. We explain how Transformer attention and decoder- 5 style next-token generation yield a distribution over continuations rather than 6 guaranteed fact retrieval [10, 4], and how retrieval-augmented generation (RAG) 7 can reduce but not eliminate hallucinations by conditioning on external evidence 8 [5, 3]. We then treat the research literature as a corpus, extracting definitions, fig- 9 ures/tables, and empirical findings to code results along four axes: (1) structural 10 mechanisms and “inevitability” arguments, (2) expert–non-expert usage patterns 11 (proxied by education/occupation and work vs. non-work context), (3) mitigation 12 and Human-in-the-Loop (HITL) practices, and (4) attitudes toward hallucination. 13 Our synthesis highlights incentive misalignment that rewards guessing over cal- 14 ibrated abstention [4], persistent deficits in truthfulness under scaling [6], and 15 human over-trust when explanations are provided by default [8]. We conclude by 16 discussing specialized small language models (SLMs) and verification-centered 17 workflows as complementary paths [1, 7]. 18"
shin2,1_Research_Report_20260131172825853-lmcs.pdf,0bd504a3-2e15-41c5-bc8a-a5e258eb537f.pdf,AI-Assisted Resilience Analysis of Power Grid Cascading,"Cascading failures in power grids pose a critical threat to modern infrastructure, yet the interplay between network topology and failure propagation remains insufficiently understood under realistic operating conditions. This study presents an AI-assisted simulation framework for analyzing cas- cading failures in the IEEE 118-Bus power system, employing the Motter-Lai tolerance parameter model (α = 1.3) with pandapower-based AC power flow analysis to generate physically realistic cascade dynamics. We systematically compare three network topologies—original, scale-free, and small-world—across 50 Monte Carlo replications, and evaluate four node reinforcement strategies including an AI-suggested hybrid combining betweenness centrality, bridge node identification, and load-weighted scoring. Our results reveal: (1) a sharp phase transition in cascade severity at α ≈1.2, below which single-line failures can collapse up to 80% of grid load; (2) small-world networks ex- hibit 35% higher mean survived fraction than the original topology under identical stress conditions; and (3) degree-based reinforcement outperforms other strategies, reducing mean cascade size by 23% compared to no reinforcement. Additionally, N-k contingency analysis reveals nonlinear scaling: k=4 simultaneous failures produce cascade sizes 2.8× larger than k=1. We further demonstrate that an AI-guided real-time mitigation agent, using centrality-aware load shedding during cascade propaga- tion, reduces outcome variance by 35% compared to no intervention, suggesting AI’s greatest value lies in preventing worst-case scenarios. The entire research pipeline was conducted in collabora- tion with Claude Opus 4.5, demonstrating the viability and limitations of AI-assisted computational research in energy systems engineering."
vince402,anonymized_report.pdf,df2ef93e-e3b8-4f96-8ce3-d989dc0df36e.pdf,Autonomous Orchestration of Open-Source Monte Carlo,"7 Abstract. Monte Carlo (MC) event generation is a foundational computational technique in high- 8 energy physics (HEP), enabling researchers to simulate collisions between fundamental particles and 9 predict experimental outcomes. However, the complexity of MC pipelines—requiring deep integra- 10 tion of quantum field theory, specialized software libraries, and high-performance computing—has 11 traditionally made this domain inaccessible to automation. In this work, we present a novel method- 12 ology utilizing Large Language Models (LLMs) as autonomous Research Software Engineers to 13 synthesize, configure, and orchestrate MC simulation pipelines. We demonstrate this by using an AI 14 agent to analyze, refactor, and merge two disparate legacy frameworks into a unified, containerized 15 architecture called the HEP Simulation Assistant. The system leverages an orchestrated suite 16 of open-source tools—Pythia8 for parton showering, EvtGen for particle decays, Rivet for analysis, 17 and Docker for reproducibility—managed by an AI-synthesized Python orchestrator. We address 18 the practical challenges of software fragmentation in high-energy physics (HEP) by automating the 19 integration of complex simulation tools. This work establishes a new paradigm for ""Intent-Based"" 20 simulation infrastructures where a human researcher specifies a physics goal, and an AI agent handles 21 the complex software engineering required to achieve it, offering a creative and practically valuable 22 solution to the ""Orchestration Gap"". We provide detailed explanations of the underlying physics, 23 architectural breakthroughs, and validation across multiple production environments, confirming the 24 method’s reliability and scientific validity. 25 Contents 26"
winnermaker,Main Manuscript.pdf,a802407f-6c37-4a7f-a6c7-266217cb4691.pdf,HELIX: Hypothesis Evolution and Literature,"Computational drug repurposing approaches face a fundamental trade-off: graph 1 neural network (GNN) methods achieve strong link prediction but lack inter- 2 pretability, while large language model (LLM) systems provide reasoning but 3 risk hallucination. We present HELIX (Hypothesis Evolution and Literature 4 Intelligence eXplorer), a hybrid framework that integrates GNN-based knowl- 5 edge graph reasoning with multi-agent LLM hypothesis evolution for T-cell ex- 6 haustion drug repurposing. Using a high-performance GNN (93.7% test AU- 7 ROC, 93.0% AUPRC) on a 154,754-node, 19.5M-edge knowledge graph, we find 8 that hybrid reasoning surfaces clinically relevant candidates that structure- 9 based (GNN-only) methods miss: when ranking all 8,265 drugs by GNN score 10 alone, no known therapeutic appears in the top 100; HELIX’s LLM-guided can- 11 didate generation followed by tournament ranking retains all 7/7 known thera- 12 peutics in the final 16-candidate pool (Pembrolizumab at #1). Our framework 13 employs Hegelian dialectics, Lakatosian refinement, and TRIZ-inspired evolu- 14 tion to iteratively improve hypotheses across 4 evolution loops, achieving inter- 15 pretable predictions with mechanistic rationales suitable for clinical review. No- 16 tably, Rapamycin ranked #2 despite a negative GNN score (−0.048), demon- 17 strating that reasoning can overcome GNN blindspots. Our novel repurposing 18 candidates—Arbaclofen (GABA-B agonist), Dotinurad (URAT1 inhibitor), and 19 Vofopitant (NK1 antagonist)—represent drugs from non-immunological indica- 20 tions with zero T-cell exhaustion literature. These results demonstrate that in- 21 tegrating semantic reasoning with structural patterns yields clinically actionable 22 predictions that neither approach achieves alone. For reproducibility, we provide 23 a demo interface URL (see AI Usage Report). 24"
wklion,논문_MOSAI.pdf,3306c626-cbae-4901-ab6c-cca3836e3fd3.pdf,Open-source PDK-based,"This paper presents a machine learning framework for automated classification of near-threshold logic (NTL) NMOS design windows using open-source PDK simulation data. Near-threshold operation enables ultralow- power integrated circuits but amplifies process variation sensitivity, making design margin analysis critical. We developed a multi-output LightGBM classifier to predict design feasibility from process parameters (channel length L, width W) and operating conditions (temperature, supply voltage, gate-source voltage). The classifier incorporates class-weighted learning to handle imbalanced data and achieves AUPRC of 0.9119 with high classification accuracy. SHAP-based explainability analysis quantifies feature contributions to success/failure boundaries, revealing that channel length and drain-source voltage are dominant factors. A rule-extraction approach identifies design windows with 1.85× lift in success rate, enabling efficient design space exploration. Rigorous curve-level labeling prevents information leakage, while domain shift experiments (holding out Model/Node/PDK groups) assess generalization. This data-driven DTCO approach bridges process variation and circuit performance, providing automated design validation for edge computing and battery-powered embedded systems. Results demonstrate practical utility for semiconductor design optimization. 2"
yuminbyun,template_2026_anonymized.docx.pdf,d95eb49d-df00-4447-a784-4cdcb27205cf.pdf,"GPT-5.1, Gemini 3 Pro","Solution-processed IGZO is critical for flexible electronics, yet optimizing combustion synthesis remains challenging due to complex, non-linear interactions between cation composition and processing conditions. To address this, we propose a data-driven framework utilizing the XGBoost algorithm and Dirichlet-based data augmentation to efficiently explore the compositional design space. Uniquely, we introduce a feature engineering technique to mitigate ""dielectric masking,"" allowing the model to isolate intrinsic material behaviors from capacitance effects. By integrating these predictive models with a PCA- derived Stability Index, this study systematically identifies optimal device configurations that balance high mobility with long-term operational reliability, overcoming the limitations of traditional trial-and-error optimization."
고수,AI 활용보고서.pdf,d2e4cd24-50a5-41eb-9cf9-ebff93ac7048.pdf,별첨1-4  AI 활용 보고서 (Track1),(초록 추출 실패)
기붕이호잇,AICo_Scientist.pdf,4232b62e-6c66-494a-b37c-aa91549981a7.pdf,A Study of Performance Prediction of Natural-Wind,"This paper presents a computationally efficient surrogate-based design framework 1 for natural-wind-driven (fanless) fin–tube heat exchangers, enabling rapid predic- 2 tion and optimization of thermal–hydraulic performance over a large geometric 3 design space. While natural-wind air cooling offers a promising route to reduce 4 parasitic power in next-generation AI data centers, practical design remains bottle- 5 necked by the high computational cost of resolving complex fin–tube geometries 6 in high-fidelity CFD. To overcome this limitation, we replace the explicit fin–tube 7 core with an equivalent porous-medium representation derived from established 8 correlations, which enables fast 2D porous-zone CFD for scalable dataset gener- 9 ation. Using strategically selected simulation samples, we train Gaussian Process 10 surrogates that accurately approximate heat transfer and pressure-drop behavior 11 across the feasible domain. We then apply Genetic Algorithm optimization on the 12 surrogate predictions to efficiently identify high-performing configurations while 13 minimizing reliance on repeated high-fidelity CFD runs. The proposed work- 14 flow is demonstrated under site conditions derived from long-term meteorological 15 observations in Haenam, Korea, supporting rapid and scalable design of passive 16 cooling heat exchangers for large-scale deployments. 17"
김민섭,LightWaferSegClassNet Wafer Defect Research Paper Translation-1.pdf,1f2c2e8b-59fd-4732-8495-cad6e85ef722.pdf,Simultaneous Wafer Defect Segmentation and,"In the semiconductor manufacturing process, wafer defect patterns can vary depending on minute changes in process conditions. Rapidly detecting defects and identifying their types are crucial for yield management and root cause tracking. However, deploying large-scale deep learning models is challenging in edge environments or on-site equipment due to limited computational resources and memory constraints. This study proposes LightWaferSegClassNet, a lightweight multi-task model that simultaneously performs defect segmentation and classification on wafer images while minimizing the number of parameters. Using the MixedWM38 dataset (38 classes, 38,015 samples), we constructed a 2-stage pipeline where a Teacher model (DeepLabV3+ with ResNet101) is first fine-tuned, and then its soft targets (probability distributions) for both classification and segmentation are distilled to train an ultra-lightweight Student model. The proposed Student model achieves approximately a 697x compression ratio compared to the Teacher (approx. 46.7 million parameters) with only about 67,000 parameters (approx. 0.26 MB). Specifically, it was designed to simultaneously transfer pixel-level boundary information (segmentation) and inter-class similarity information (classification) to creatively secure a balance between accuracy and efficiency even with an extreme parameter budget. This paper systematically organizes the lightweight design (Depthwise Separable Convolution, 1x1 channel reduction) and multi-task knowledge distillation learning strategy, presenting a practical model design direction that enhances the feasibility of rapid wafer defect analysis and on-site deployment."
김민준킴,2026_AI_Co_Scientist_Challenge_Korea_AI 활용보고서.pdf,b8c4e505-7c84-4877-8da5-b84eaf0d91ae.pdf,별첨1-4  AI 활용 보고서 (Track1),(초록 추출 실패)
김인수,연구보고서.pdf,c3101b63-1d98-44c0-bc3d-be0d8d2ca1b9.pdf,AI-Driven Proxy-Based Screening of Degradation,"The operational lifetime of deep-blue organic light-emitting diodes (OLEDs) re- 1 mains a critical technological bottleneck due to intrinsic high-energy exciton- 2 driven degradation. In this study, we present an AI-assisted virtual screening 3 framework to quantitatively rank degradation risks of blue emitter candidates us- 4 ing experimentally motivated physical proxies. A curated set of representative 5 blue emitters was analyzed using RDKit- and DeepChem-based molecular rep- 6 resentations to extract descriptors related to charge-transfer localization, exciton- 7 exciton interaction propensity, and excitation energy. These proxies were inte- 8 grated into a composite degradation risk score to emulate early-stage industrial 9 screening prior to costly quantum chemical calculations or device fabrication. 10 Structural similarity analysis further revealed chemically similar emitters exhibit- 11 ing substantially different predicted degradation risks, emphasizing the role of 12 charge localization and exciton interaction pathways. The proposed framework 13 demonstrates how AI tools can be used as virtual experimental instruments to 14 guide risk-aware material down-selection and early-stage design of blue OLED 15 emitters. 16"
난쏘공,1. 연구보고서.pdf,addabf57-625a-432b-873f-ae6d2e725b17.pdf,MTTB: End-to-End Framework,"As AMOLED displays move toward higher resolution and lower power operation, 1 next-generation oxide semiconductors are needed to achieve high-performance, 2 reliable backplane TFTs. However, existing ML-based screening has two lim- 3 itations. It can distort design decisions by collapsing conflicts among multiple 4 material descriptors into a single objective function. It also lacks an interpretable 5 link between material-level predictions and device-level performance. To address 6 these issues, we propose a four-stage hybrid framework, MTTB (Materials-to-TFT 7 Bridge). (1) AI-based property prediction: rapidly infers material descriptors 8 (band gap Gx, inverse spatial wavefunction overlaps ISWOC and ISWOV , and 9 formation energy Ef) from composition vectors. (2) Pareto-based multi-objective 10 composition search: compresses promising candidates while preserving trade-offs 11 among material descriptors. (3) Candidate selection strategy: selects final candi- 12 date compositions based on performance–stability trade-offs and target priorities. 13 (4) Physics-Inference Module (PIM): maps predicted properties to device-physics 14 variables to efficiently infer TCAD-equivalent device metrics. Experimentally, 15 global Pareto-knee candidates converge to Al–Mg-centered compositions under 16 high-bandgap conditions. Composition-sensitivity analysis and PIM-based device 17 simulations confirm the potential for balanced performance improvements over 18 IGZO. Finally, we propose Al–Mg-based (beyond-IGZO) oxide archetypes and 19 composition candidates that can replace IGZO. 20"
딸기맛몬스터,srdmm_2026ai.pdf,02cca1f6-c6fd-42a4-bb52-a567994b476a.pdf,SOFA-Reconstruction Deep Markov Model,"Timely risk updates are critical in the ICU, where rapid physiologic changes and 1 sparse, irregular documentation make multimodal early warning challenging. We 2 propose SR-DMM, a SOFA-reconstruction multimodal Deep Markov Model that 3 fuses noisy structured time series with asynchronous clinical notes in a probabilistic 4 state-space framework to update 24-hour mortality risk hourly using information 5 available up to time t. SR-DMM reconstructs SOFA-defining raw indicators (Raw6) 6 via a generative emission objective, encouraging physiologically meaningful latent 7 severity trajectories while integrating notes at the encoder/posterior to directly 8 refine state inference without heuristic decay or late fusion. In 5-fold nested 9 cross-validation, SR-DMM improves performance over common baselines. 10"
딸깍,AI가 연구동료로서 연구 전 과정에 주로 기여한 연구보고서 (팀 딸깍).pdf,a6bf7b3f-b3f2-4259-8a4c-cc53e582de84.pdf,CMI-AI: A Physically Grounded Framework,"While AI has become essential in accelerating chemical research, general-purpose Large Language Models (LLMs) often suffer from a ""grounding gap,"" prioritizing statistical correlations over physical laws and producing ""chemical hallucinations"" such as the energetically prohibitive cleavage of C–F bonds (≈485 kJ/mol). To address this, we present Chemical Mechanism Inference AI (CMI-AI), a physically grounded framework based on EXAONE [1] that couples a neural proposal model with a symbolic chemistry core (RDKit [2]) to ensure structural and valence valid- ity. CMI-AI formulates mechanism generation as a constrained tree-search over intermediate molecular states, where each candidate step is executed as an explicit graph edit and validated against deterministic signals including Bond Dissociation Energy (BDE) heuristics, pKa-consistent proton-transfer logic, and intermediate stability indicators. To accommodate the non-linear branching of organic reactions, we employ a Beam Search Algorithm to maintain and rank multiple competing pathways via a hybrid objective function. Furthermore, we introduce the Mask- ing Verification Step (MVS), a diagnostic methodology that masks key causal anchors—such as leaving-group identity and stabilization arguments—to distin- guish authentic chemical understanding from superficial template memorization, using BERT-style masking tests [3]. By integrating online physical constraints with a verification-driven self-correction loop, CMI-AI effectively rectifies systematic pattern-matching errors and provides a highly reliable, interpretable pathway for autonomous chemical discovery."
뚜구리친구,1. 연구보고서.pdf,1dca5971-a67e-4df0-97c5-ba1daea1971e.pdf,Breaking the senescence-fibrosis loop:,"Idiopathic pulmonary fibrosis (IPF) is a fatal degenerative disease characterized 1 by repetitive alveolar epithelial damage and irreversible tissue stiffening. While 2 existing therapies, including the recently approved Nerandomilast (October 2025), 3 slow disease progression, they face challenges such as systemic toxicity and an in- 4 ability to achieve fundamental fibrosis reversal. This study proposes an innovative 5 de-modification strategy using fibroblast activation protein (FAP)-responsive in- 6 haled molecular glues (MGs) to precisely target the IL-11/ERK axis, the key driver 7 of the senescence-fibrosis cycle. We implemented a Z-Gly-Pro caging technology 8 selectively activated by the FAP enzyme overexpressed on activated myofibrob- 9 lasts, eliminating off-target toxicity in normal tissues. Our approach utilizes a 10 small-molecule inhaled formulation to maximize delivery to deep lung lesions. 11 By hijacking SENP1 and USP15 to remove pathological RAS SUMOylation and 12 ERK K63-linked ubiquitination, this dual-lock mechanism suppresses the entry 13 of alveolar epithelial cells (AECs) into senescence and blocks the release of the 14 senescence-associated secretory phenotype (SASP). Simultaneously, it normalizes 15 the ERK-mTOR translational axis to halt excessive collagen accumulation. Con- 16 sequently, this strategy collapses the senescence-fibrosis loop, reduces physical 17 stiffness, and restores the regenerative microenvironment, representing a potent 18 next-generation therapeutic option for the fundamental recovery of lung function. 19"
마부수,report_2026_anonymized.pdf,5fa331b6-f7b4-4ed2-830b-83fb03a2b477.pdf,Towards Rapid Stress Field Prediction in,"Accurate prediction of thermomechanical stress distributions in semiconductor packaging structures is essential for reliability assessment during design. Con- ventional finite element analysis (FEA), although accurate, is computationally expensive and limits rapid design iteration. We propose a deep learning approach based on a modified U-Net with an auxiliary min–max regression head to predict von Mises stress fields from binary geometry images representing 2D layer-level structures under fixed thermal loading. By jointly predicting the normalized stress field and its physical bounds, the model enables end-to-end stress recovery with- out requiring ground-truth min/max values at inference. The model is trained on 2,180 FEA samples derived from the SkyWater 130 nm process design kit (SKY130 PDK). Among seven systematically evaluated configurations, the best model achieves a mean absolute error of 1.048 ± 1.182 MPa and a maximum stress error of 4.16% on 545 test samples. Ablation studies show that the auxiliary min–max head reduces prediction error by 56% compared to a baseline U-Net, while extended training with gradient clipping improves robustness. The proposed approach reduces inference time by approximately three orders of magnitude rela- tive to FEA, enabling near-real-time stress analysis for semiconductor packaging design."
마이웨이,3.（인텔리로버팀）활용 데이터 목록v1.0.pdf,4a302a84-0eee-4009-afa5-a72f5f39843d.pdf,별첨1-5  (제출물 양식) 활용데이터 목록 (Track1),(초록 추출 실패)
박소정,활용데이터목록.pdf,407ff2c9-1d75-4168-a669-a917afdb23eb.pdf,활용데이터 목록 (Track1),(초록 추출 실패)
발사체,Memory-Efficient Pipeline for Large-Scale Linear Code Classification.pdf,b79c083c-efec-4dcf-a6a2-0a47d98ddbef.pdf,Memory-Efficient Pipeline for,(초록 추출 실패)
